nome,instagram,telefone,email,status,origem,vendedor,nota,score,ultima_interacao,valor_estimado,created_at
Rodrigo Moreira,@rodrigomoreira552,(11) 99394-8131,rodrigo.moreira@email.com,contatado,Anúncio Facebook,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,5,2025-09-26,2770.0,2025-08-21T22:06:56.212207
Felipe Costa,@felipecosta290,(11) 93943-1874,felipe.costa@email.com,fechado,Evento,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,10,2025-09-23,1539.99,2025-09-19T22:06:56.212207
Larissa Pereira,@larissapereira987,(11) 97802-3788,larissa.pereira@email.com,novo,Site,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,1,2025-09-29,1632.65,2025-09-10T22:06:56.212207
Ana Clara,@anaclara308,(11) 97348-9893,ana.clara@email.com,novo,Anúncio Facebook,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,4,2025-09-22,2375.08,2025-09-01T22:06:56.212207
Pedro Mendes,@pedromendes867,(11) 98578-5161,pedro.mendes@email.com,novo,Anúncio Facebook,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,5,2025-09-29,2384.2,2025-09-07T22:06:56.212207
Rodrigo Moreira,@rodrigomoreira570,(11) 93205-7548,rodrigo.moreira@email.com,perdido,Site,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,2,2025-09-28,2560.86,2025-09-01T22:06:56.212207
Paulo Ricardo,@pauloricardo203,(11) 91501-1338,paulo.ricardo@email.com,interessado,Site,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-10-01,1884.5,2025-09-21T22:06:56.212207
Rafael Lima,@rafaellima553,(11) 99980-1159,rafael.lima@email.com,interessado,Site,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,6,2025-09-23,2866.77,2025-09-08T22:06:56.212207
Igor Lopes,@igorlopes252,(11) 92543-9084,igor.lopes@email.com,contatado,Site,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,7,2025-10-01,1597.36,2025-10-01T22:06:56.212207
Vanessa Teixeira,@vanessateixeira121,(11) 95899-1904,vanessa.teixeira@email.com,contatado,Indicação,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,7,2025-09-27,1524.66,2025-09-23T22:06:56.212207
Priscila Correia,@priscilacorreia255,(11) 94206-1829,priscila.correia@email.com,fechado,WhatsApp,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,9,2025-09-23,2031.29,2025-09-10T22:06:56.212207
Rafael Lima,@rafaellima701,(11) 96481-1276,rafael.lima@email.com,novo,Instagram,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,1,2025-09-25,2766.61,2025-09-03T22:06:56.212207
Leonardo Araujo,@leonardoaraujo217,(11) 96815-5595,leonardo.araujo@email.com,novo,Instagram,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,4,2025-09-26,2530.52,2025-09-10T22:06:56.212207
Igor Lopes,@igorlopes883,(11) 98821-6250,igor.lopes@email.com,novo,WhatsApp,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,4,2025-09-27,2454.74,2025-09-02T22:06:56.212207
Mateus Melo,@mateusmelo281,(11) 94241-5951,mateus.melo@email.com,fechado,Indicação,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,10,2025-09-28,1518.06,2025-08-19T22:06:56.212207
Vinicius Santana,@viniciussantana186,(11) 96379-2888,vinicius.santana@email.com,novo,Anúncio Facebook,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,1,2025-09-28,2048.65,2025-08-07T22:06:56.212207
Vinicius Santana,@viniciussantana644,(11) 95508-6753,vinicius.santana@email.com,perdido,Anúncio Facebook,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,1,2025-09-21,2256.53,2025-08-04T22:06:56.212207
Bruno Gomes,@brunogomes980,(11) 93226-3744,bruno.gomes@email.com,novo,Indicação,Ana,Lead captado via Evento. Demonstrou interesse em curso de vendas.,3,2025-09-24,2902.18,2025-08-15T22:06:56.212207
Maria Fernanda,@mariafernanda377,(11) 92717-9514,maria.fernanda@email.com,interessado,Site,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,8,2025-09-24,2826.77,2025-08-07T22:06:56.212207
Gabriela Oliveira,@gabrielaoliveira223,(11) 92683-7513,gabriela.oliveira@email.com,negociacao,Instagram,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,10,2025-09-21,2963.7,2025-08-03T22:06:56.212207
Vinicius Santana,@viniciussantana292,(11) 92759-5457,vinicius.santana@email.com,interessado,Indicação,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,6,2025-09-22,2954.31,2025-09-11T22:06:56.212207
Carlos Eduardo,@carloseduardo388,(11) 94651-5721,carlos.eduardo@email.com,perdido,Evento,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,2,2025-09-30,1650.13,2025-09-14T22:06:56.212207
Carlos Eduardo,@carloseduardo902,(11) 92967-5885,carlos.eduardo@email.com,perdido,Site,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,4,2025-09-25,1949.08,2025-08-23T22:06:56.212207
Daniel Campos,@danielcampos749,(11) 93958-1937,daniel.campos@email.com,negociacao,Anúncio Facebook,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-30,1841.29,2025-08-13T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues245,(11) 94163-8081,lucas.rodrigues@email.com,interessado,Instagram,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,7,2025-09-27,2276.34,2025-09-08T22:06:56.212207
Felipe Costa,@felipecosta553,(11) 93667-8431,felipe.costa@email.com,interessado,Anúncio Facebook,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,7,2025-09-22,2978.47,2025-09-08T22:06:56.212207
João Victor,@joãovictor861,(11) 94538-3337,joão.victor@email.com,negociacao,Site,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,8,2025-09-21,1920.28,2025-09-02T22:06:56.212207
Paulo Ricardo,@pauloricardo468,(11) 92827-5434,paulo.ricardo@email.com,negociacao,WhatsApp,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,9,2025-09-21,1543.88,2025-09-07T22:06:56.212207
Bruno Gomes,@brunogomes467,(11) 98165-8080,bruno.gomes@email.com,novo,Evento,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,1,2025-09-21,1902.23,2025-09-05T22:06:56.212207
Mateus Melo,@mateusmelo792,(11) 97138-6746,mateus.melo@email.com,interessado,Indicação,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-10-01,2907.18,2025-09-30T22:06:56.212207
Cristina Freitas,@cristinafreitas343,(11) 92596-8169,cristina.freitas@email.com,negociacao,Indicação,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-28,1562.71,2025-09-27T22:06:56.212207
Mariana Santos,@marianasantos317,(11) 94839-3453,mariana.santos@email.com,fechado,Evento,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,9,2025-09-21,1985.9,2025-09-03T22:06:56.212207
Vitor Barbosa,@vitorbarbosa421,(11) 97373-4306,vitor.barbosa@email.com,perdido,Instagram,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-23,1668.08,2025-09-03T22:06:56.212207
Larissa Pereira,@larissapereira514,(11) 96304-6456,larissa.pereira@email.com,interessado,Indicação,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,8,2025-10-01,2560.47,2025-09-26T22:06:56.212207
Juliana Cunha,@julianacunha760,(11) 98923-6380,juliana.cunha@email.com,fechado,WhatsApp,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,9,2025-10-01,2046.85,2025-10-01T22:06:56.212207
Gabriela Oliveira,@gabrielaoliveira473,(11) 93250-7563,gabriela.oliveira@email.com,negociacao,WhatsApp,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,8,2025-09-27,2840.73,2025-08-09T22:06:56.212207
Carlos Eduardo,@carloseduardo401,(11) 93593-7398,carlos.eduardo@email.com,interessado,Anúncio Facebook,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,8,2025-09-28,1762.11,2025-09-17T22:06:56.212207
Bianca Monteiro,@biancamonteiro685,(11) 94842-7440,bianca.monteiro@email.com,negociacao,Google Ads,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-09-25,1750.49,2025-08-26T22:06:56.212207
Alexandre Vieira,@alexandrevieira279,(11) 93713-6195,alexandre.vieira@email.com,fechado,Anúncio Facebook,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,8,2025-09-28,2329.68,2025-09-24T22:06:56.212207
Juliana Cunha,@julianacunha660,(11) 91796-7778,juliana.cunha@email.com,interessado,Site,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,7,2025-09-26,2988.8,2025-08-30T22:06:56.212207
Natalia Nascimento,@natalianascimento506,(11) 92778-9554,natalia.nascimento@email.com,interessado,Evento,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-27,2945.35,2025-09-25T22:06:56.212207
Thiago Dias,@thiagodias575,(11) 95120-3532,thiago.dias@email.com,interessado,Indicação,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,7,2025-10-01,2825.78,2025-08-16T22:06:56.212207
Daniel Campos,@danielcampos957,(11) 96534-4800,daniel.campos@email.com,fechado,Anúncio Facebook,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,10,2025-09-24,1980.31,2025-08-10T22:06:56.212207
Beatriz Almeida,@beatrizalmeida705,(11) 96982-9017,beatriz.almeida@email.com,interessado,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,6,2025-09-26,2802.52,2025-09-17T22:06:56.212207
Mariana Santos,@marianasantos372,(11) 95361-6023,mariana.santos@email.com,fechado,Anúncio Facebook,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,10,2025-09-28,1837.71,2025-08-08T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues304,(11) 98173-6484,lucas.rodrigues@email.com,perdido,WhatsApp,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,1,2025-09-23,1552.8,2025-08-03T22:06:56.212207
Ana Clara,@anaclara356,(11) 92977-3844,ana.clara@email.com,negociacao,Evento,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,9,2025-09-26,2014.76,2025-09-09T22:06:56.212207
Paulo Ricardo,@pauloricardo129,(11) 91328-6028,paulo.ricardo@email.com,perdido,Instagram,Fernando,Lead captado via Site. Demonstrou interesse em curso de vendas.,2,2025-09-27,2275.31,2025-08-10T22:06:56.212207
Thiago Dias,@thiagodias243,(11) 91243-5463,thiago.dias@email.com,perdido,Anúncio Facebook,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,1,2025-10-01,2936.53,2025-08-10T22:06:56.212207
Juliana Cunha,@julianacunha854,(11) 92227-7869,juliana.cunha@email.com,negociacao,Google Ads,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,9,2025-09-25,2362.51,2025-08-12T22:06:56.212207
Lucas Rodrigues,@lucasrodrigues652,(11) 97121-7426,lucas.rodrigues@email.com,negociacao,Site,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,8,2025-09-26,2065.57,2025-08-29T22:06:56.212207
Mariana Santos,@marianasantos876,(11) 95979-4491,mariana.santos@email.com,interessado,WhatsApp,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,6,2025-09-30,2113.05,2025-09-16T22:06:56.212207
Paulo Ricardo,@pauloricardo878,(11) 99226-6260,paulo.ricardo@email.com,negociacao,Indicação,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-22,2489.79,2025-08-16T22:06:56.212207
Rodrigo Moreira,@rodrigomoreira909,(11) 97378-5485,rodrigo.moreira@email.com,contatado,Anúncio Facebook,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,6,2025-09-21,1701.36,2025-09-05T22:06:56.212207
Diego Torres,@diegotorres813,(11) 91786-6822,diego.torres@email.com,fechado,Instagram,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,10,2025-09-28,2358.31,2025-08-28T22:06:56.212207
Cristina Freitas,@cristinafreitas432,(11) 94736-8998,cristina.freitas@email.com,contatado,Google Ads,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,5,2025-09-23,1552.2,2025-08-06T22:06:56.212207
Vinicius Santana,@viniciussantana865,(11) 97486-9379,vinicius.santana@email.com,perdido,Evento,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-26,2475.02,2025-09-19T22:06:56.212207
Camila Ferreira,@camilaferreira112,(11) 92710-7237,camila.ferreira@email.com,interessado,Instagram,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,8,2025-09-28,1732.73,2025-08-06T22:06:56.215322
Paulo Ricardo,@pauloricardo572,(11) 92320-5763,paulo.ricardo@email.com,perdido,WhatsApp,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,4,2025-09-30,1532.13,2025-09-07T22:06:56.215322
Fabio Rocha,@fabiorocha389,(11) 97312-3874,fabio.rocha@email.com,interessado,WhatsApp,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,7,2025-09-27,1638.13,2025-08-15T22:06:56.215322
Maria Fernanda,@mariafernanda765,(11) 93941-2398,maria.fernanda@email.com,interessado,Site,Ana,Lead captado via Evento. Demonstrou interesse em curso de vendas.,6,2025-09-26,2183.04,2025-08-24T22:06:56.215322
Thiago Dias,@thiagodias312,(11) 93766-2446,thiago.dias@email.com,contatado,Site,Ana,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,7,2025-10-01,2349.95,2025-08-15T22:06:56.215322
Paulo Ricardo,@pauloricardo263,(11) 97578-3550,paulo.ricardo@email.com,perdido,Indicação,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-24,2069.81,2025-09-03T22:06:56.215322
Caroline Castro,@carolinecastro759,(11) 95102-8539,caroline.castro@email.com,contatado,Anúncio Facebook,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,7,2025-09-25,2951.62,2025-08-02T22:06:56.215322
Pedro Mendes,@pedromendes863,(11) 91818-8922,pedro.mendes@email.com,negociacao,Google Ads,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,10,2025-09-21,2867.07,2025-09-06T22:06:56.215322
Camila Ferreira,@camilaferreira822,(11) 95727-6919,camila.ferreira@email.com,contatado,Evento,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,7,2025-09-30,1511.88,2025-09-13T22:06:56.215322
Rodrigo Moreira,@rodrigomoreira875,(11) 99348-6720,rodrigo.moreira@email.com,novo,Instagram,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,3,2025-09-29,2663.54,2025-09-27T22:06:56.215322
Paulo Ricardo,@pauloricardo891,(11) 99582-6233,paulo.ricardo@email.com,perdido,Instagram,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,2,2025-09-23,2516.19,2025-08-12T22:06:56.215322
Gabriela Oliveira,@gabrielaoliveira447,(11) 95522-6133,gabriela.oliveira@email.com,novo,Evento,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,4,2025-09-22,1663.98,2025-08-09T22:06:56.215322
Bruna Carvalho,@brunacarvalho503,(11) 93694-4938,bruna.carvalho@email.com,novo,Google Ads,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,2,2025-09-23,2996.22,2025-08-14T22:06:56.215322
Lucas Rodrigues,@lucasrodrigues762,(11) 94256-3684,lucas.rodrigues@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-09-27,2442.53,2025-08-19T22:06:56.215322
Priscila Correia,@priscilacorreia639,(11) 91274-9062,priscila.correia@email.com,negociacao,Site,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,8,2025-09-29,2150.17,2025-08-24T22:06:56.215322
Ana Clara,@anaclara136,(11) 96917-4947,ana.clara@email.com,novo,Site,Ana,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-23,1877.82,2025-09-17T22:06:56.215322
Juliana Cunha,@julianacunha192,(11) 92252-4957,juliana.cunha@email.com,novo,Indicação,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,4,2025-09-25,2696.98,2025-08-07T22:06:56.215322
Vanessa Teixeira,@vanessateixeira952,(11) 97165-3991,vanessa.teixeira@email.com,interessado,Anúncio Facebook,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,8,2025-09-30,2825.76,2025-09-14T22:06:56.215322
Daniel Campos,@danielcampos291,(11) 94927-8093,daniel.campos@email.com,fechado,Anúncio Facebook,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,9,2025-09-22,2189.2,2025-08-04T22:06:56.215322
João Victor,@joãovictor125,(11) 98706-2706,joão.victor@email.com,fechado,Anúncio Facebook,Ana,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,8,2025-09-21,2728.23,2025-08-14T22:06:56.215322
Gustavo Souza,@gustavosouza347,(11) 96493-8558,gustavo.souza@email.com,negociacao,Instagram,Ana,Lead captado via Site. Demonstrou interesse em curso de vendas.,10,2025-09-25,2493.19,2025-08-23T22:06:56.215322
Vitor Barbosa,@vitorbarbosa817,(11) 98640-4332,vitor.barbosa@email.com,fechado,WhatsApp,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,10,2025-10-01,2247.68,2025-09-30T22:06:56.215322
